Toponimo antico,Nome moderno per Geopy,Informazione storica
Kokufu,"Nankoku, Kochi, Japan",Luogo di partenza (国府)
Otsu,"Otsu, Kochi, Japan",Porto iniziale (大津)
Urado,"Urado Bay, Kochi, Japan",Primo tratto di navigazione (浦戸)
Ominato,"Maehama, Nankoku, Kochi, Japan",Capodanno e lunga sosta (大湊)
Nahari,"Nahari, Kochi, Japan",Tappa intermedia (奈半利)
Murotsu,"Muroto, Kochi, Japan",Maltempo e sosta prolungata (室津)
Hane Misaki,"Cape Hane, Kochi, Japan","Citato in poesia, capo visibile (羽根岬)"
Tsuro,"Tsuburano, Tokushima, Japan",Sosta forzata per maltempo (津呂)
None,"None, Tokushima, Japan",Tappa successiva (野根)
Hiwasa,"Hiwasa, Minami, Tokushima, Japan","Sosta lunga, paura dei pirati (日和佐)"
Tajima,"Tajima, Tokushima, Japan",Citata nel viaggio notturno (答島)
Komatsushima,"Komatsushima, Tokushima, Japan",Scalo successivo (小松島)
Tosa Tomari,"Tomari, Awaji, Hyogo, Japan",Navigazione notturna (土佐泊)
Nada,"Nada, Kobe, Hyogo, Japan",Tappa dopo traversata (灘)
Sano/Kaizuka,"Kaizuka, Osaka, Japan",Tappa con maltempo e preghiere (貝塚)
Naniwa,"Osaka, Japan",Entrata nel fiume (難波)
Yodogawa,"Hirakata, Osaka, Japan",Risalita verso Kyoto (淀川)
Yamazaki,"Yamazaki, Kyoto, Japan",Ultima sosta prima di Kyoto (山崎)
Kyoto,"Kyoto, Japan",Arrivo finale (京)
